timestamp,node_id,protocol,destination,next_hop,metric
7,21,OLSR,0.0.0.0,0.0.0.0,0
7,22,OLSR,0.0.0.0,0.0.0.0,0
7,23,OLSR,0.0.0.0,0.0.0.0,0
7,24,OLSR,0.0.0.0,0.0.0.0,0
7,25,OLSR,0.0.0.0,0.0.0.0,0
7,26,OLSR,0.0.0.0,0.0.0.0,0
7,27,OLSR,0.0.0.0,0.0.0.0,0
7,28,OLSR,0.0.0.0,0.0.0.0,0
7,29,OLSR,0.0.0.0,0.0.0.0,0
7,30,OLSR,0.0.0.0,0.0.0.0,0
7,31,OLSR,0.0.0.0,0.0.0.0,0
7,32,OLSR,0.0.0.0,0.0.0.0,0
7,33,OLSR,0.0.0.0,0.0.0.0,0
7,34,OLSR,0.0.0.0,0.0.0.0,0
8,0,OLSR,0.0.0.0,0.0.0.0,0
8,1,OLSR,0.0.0.0,0.0.0.0,0
8,2,OLSR,0.0.0.0,0.0.0.0,0
8,3,OLSR,0.0.0.0,0.0.0.0,0
8,4,OLSR,0.0.0.0,0.0.0.0,0
8,5,OLSR,0.0.0.0,0.0.0.0,0
8,6,OLSR,0.0.0.0,0.0.0.0,0
8,7,OLSR,0.0.0.0,0.0.0.0,0
8,8,OLSR,0.0.0.0,0.0.0.0,0
8,9,OLSR,0.0.0.0,0.0.0.0,0
8,10,OLSR,0.0.0.0,0.0.0.0,0
8,11,OLSR,0.0.0.0,0.0.0.0,0
8,12,OLSR,0.0.0.0,0.0.0.0,0
8,13,OLSR,0.0.0.0,0.0.0.0,0
8,14,OLSR,0.0.0.0,0.0.0.0,0
8,15,OLSR,0.0.0.0,0.0.0.0,0
8,16,OLSR,0.0.0.0,0.0.0.0,0
8,17,OLSR,0.0.0.0,0.0.0.0,0
8,18,OLSR,0.0.0.0,0.0.0.0,0
8,19,OLSR,0.0.0.0,0.0.0.0,0
8,20,OLSR,0.0.0.0,0.0.0.0,0
8,21,OLSR,0.0.0.0,0.0.0.0,0
8,22,OLSR,0.0.0.0,0.0.0.0,0
8,23,OLSR,0.0.0.0,0.0.0.0,0
8,24,OLSR,0.0.0.0,0.0.0.0,0
8,25,OLSR,0.0.0.0,0.0.0.0,0
8,26,OLSR,0.0.0.0,0.0.0.0,0
8,27,OLSR,0.0.0.0,0.0.0.0,0
8,28,OLSR,0.0.0.0,0.0.0.0,0
8,29,OLSR,0.0.0.0,0.0.0.0,0
8,30,OLSR,0.0.0.0,0.0.0.0,0
8,31,OLSR,0.0.0.0,0.0.0.0,0
8,32,OLSR,0.0.0.0,0.0.0.0,0
8,33,OLSR,0.0.0.0,0.0.0.0,0
8,34,OLSR,0.0.0.0,0.0.0.0,0
9,0,OLSR,0.0.0.0,0.0.0.0,0
9,1,OLSR,0.0.0.0,0.0.0.0,0
9,2,OLSR,0.0.0.0,0.0.0.0,0
9,3,OLSR,0.0.0.0,0.0.0.0,0
9,4,OLSR,0.0.0.0,0.0.0.0,0
9,5,OLSR,0.0.0.0,0.0.0.0,0
9,6,OLSR,0.0.0.0,0.0.0.0,0
9,7,OLSR,0.0.0.0,0.0.0.0,0
9,8,OLSR,0.0.0.0,0.0.0.0,0
9,9,OLSR,0.0.0.0,0.0.0.0,0
9,10,OLSR,0.0.0.0,0.0.0.0,0
9,11,OLSR,0.0.0.0,0.0.0.0,0
9,12,OLSR,0.0.0.0,0.0.0.0,0
9,13,OLSR,0.0.0.0,0.0.0.0,0
9,14,OLSR,0.0.0.0,0.0.0.0,0
9,15,OLSR,0.0.0.0,0.0.0.0,0
9,16,OLSR,0.0.0.0,0.0.0.0,0
9,17,OLSR,0.0.0.0,0.0.0.0,0
9,18,OLSR,0.0.0.0,0.0.0.0,0
9,19,OLSR,0.0.0.0,0.0.0.0,0
9,20,OLSR,0.0.0.0,0.0.0.0,0
9,21,OLSR,0.0.0.0,0.0.0.0,0
9,22,OLSR,0.0.0.0,0.0.0.0,0
9,23,OLSR,0.0.0.0,0.0.0.0,0
9,24,OLSR,0.0.0.0,0.0.0.0,0
9,25,OLSR,0.0.0.0,0.0.0.0,0
9,26,OLSR,0.0.0.0,0.0.0.0,0
9,27,OLSR,0.0.0.0,0.0.0.0,0
9,28,OLSR,0.0.0.0,0.0.0.0,0
